Date,adjusted first dose,adjusted second dose,adjusted third dose,adjusted fourth dose,adjusted tests,Entry,Exit,Infection0.2,Infection0.5,infection1.0,normal speed,student speed,death rate
24-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
25-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
26-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
27-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
28-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
29-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
30-Jan-20,0,0,0,0,0,5,5,0.25,0.2,0.15,100,100,0
31-Jan-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
1-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
2-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
3-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
4-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
5-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
6-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
7-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
8-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
9-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
10-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
11-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
12-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
13-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
14-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
15-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
16-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
17-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
18-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
19-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
20-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
21-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
22-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
23-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
24-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
25-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,0
26-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
27-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
28-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
29-Feb-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
1-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
2-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
3-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
4-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
5-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
6-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
7-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
8-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
9-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
10-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
11-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
12-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
13-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
14-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
15-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
16-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
17-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
18-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
19-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
20-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
21-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
22-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
23-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
24-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,100,120
25-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
26-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
27-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
28-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
29-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
30-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
31-Mar-20,0,0,0,0,0,2,2,0.25,0.2,0.15,100,150,120
1-Apr-20,0,0,0,0,0,1,1,0.25,0.2,0.15,100,150,120
2-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,100,150,120
3-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,100,150,120
4-Apr-20,0,0,0,0,0,1,1,0.25,0.2,0.15,100,150,120
5-Apr-20,0,0,0,0,0,1,1,0.25,0.2,0.15,100,150,120
6-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,100,100,120
7-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
8-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
9-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
10-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
11-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
12-Apr-20,0,0,0,0,0,1,1,0.25,0.2,0.15,50,75,120
13-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
14-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
15-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
16-Apr-20,0,0,0,0,1,1,1,0.25,0.2,0.15,50,75,120
17-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
18-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
19-Apr-20,0,0,0,0,0,1,1,0.2,0.15,0.1,50,75,120
20-Apr-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
21-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
22-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
23-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
24-Apr-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
25-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
26-Apr-20,0,0,0,0,0,1,1,0.2,0.15,0.1,50,75,120
27-Apr-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
28-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
29-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
30-Apr-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
1-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
2-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
3-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
4-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
5-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
6-May-20,0,0,0,0,0,1,1,0.2,0.15,0.1,50,75,120
7-May-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
8-May-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
9-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
10-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
11-May-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
12-May-20,0,0,0,0,2,1,1,0.2,0.15,0.1,50,75,120
13-May-20,0,0,0,0,1,1,1,0.2,0.15,0.1,50,75,120
14-May-20,0,0,0,0,2,0,0,0.2,0.15,0.1,50,75,120
15-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
16-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
17-May-20,0,0,0,0,0,0,0,0.2,0.15,0.1,50,75,120
18-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
19-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
20-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
21-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
22-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
23-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
24-May-20,0,0,0,0,0,0,0,0.2,0.15,0.1,50,75,120
25-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,50,75,120
26-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
27-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
28-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
29-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
30-May-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
31-May-20,0,0,0,0,0,0,0,0.2,0.15,0.1,100,100,120
1-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
2-Jun-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
3-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
4-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
5-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
6-Jun-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
7-Jun-20,0,0,0,0,0,0,0,0.2,0.15,0.1,100,100,120
8-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
9-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
10-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
11-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
12-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
13-Jun-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
14-Jun-20,0,0,0,0,0,0,0,0.2,0.15,0.1,100,100,120
15-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
16-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
17-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
18-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
19-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
20-Jun-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
21-Jun-20,0,0,0,0,0,0,0,0.2,0.15,0.1,100,100,120
22-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
23-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
24-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
25-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
26-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
27-Jun-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
28-Jun-20,0,0,0,0,0,0,0,0.2,0.15,0.1,100,100,120
29-Jun-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
30-Jun-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
1-Jul-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
2-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
3-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
4-Jul-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
5-Jul-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
6-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
7-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
8-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
9-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
10-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
11-Jul-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
12-Jul-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
13-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
14-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
15-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
16-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
17-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
18-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
19-Jul-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
20-Jul-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
21-Jul-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,150,120
22-Jul-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
23-Jul-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,150,120
24-Jul-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
25-Jul-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,150,120
26-Jul-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
27-Jul-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,150,120
28-Jul-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
29-Jul-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
30-Jul-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
31-Jul-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,150,120
1-Aug-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,150,120
2-Aug-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
3-Aug-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,150,120
4-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
5-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
6-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
7-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
8-Aug-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,150,120
9-Aug-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
10-Aug-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
11-Aug-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,150,120
12-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
13-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
14-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
15-Aug-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,150,120
16-Aug-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
17-Aug-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,150,120
18-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
19-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
20-Aug-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,150,120
21-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
22-Aug-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,150,120
23-Aug-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
24-Aug-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,150,120
25-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
26-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
27-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
28-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
29-Aug-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,150,120
30-Aug-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,150,120
31-Aug-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,150,120
1-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
2-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
3-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
4-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
5-Sep-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
6-Sep-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
7-Sep-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,100,120
8-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
9-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
10-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
11-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
12-Sep-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
13-Sep-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
14-Sep-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,100,120
15-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
16-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
17-Sep-20,0,0,0,0,4,0,0,0.2,0.15,0.1,100,100,120
18-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
19-Sep-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
20-Sep-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
21-Sep-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
22-Sep-20,0,0,0,0,2,0,0,0.2,0.15,0.1,100,100,120
23-Sep-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,100,120
24-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
25-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
26-Sep-20,0,0,0,0,3,0,0,0.2,0.15,0.1,100,100,120
27-Sep-20,0,0,0,0,1,0,0,0.2,0.15,0.1,100,100,120
28-Sep-20,0,0,0,0,6,0,0,0.2,0.15,0.1,100,100,120
29-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
30-Sep-20,0,0,0,0,5,0,0,0.2,0.15,0.1,100,100,120
1-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
2-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
3-Oct-20,0,0,0,0,3,3,1,0.2,0.15,0.1,100,100,120
4-Oct-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
5-Oct-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
6-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
7-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
8-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
9-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
10-Oct-20,0,0,0,0,3,3,1,0.2,0.15,0.1,100,100,120
11-Oct-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
12-Oct-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
13-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
14-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
15-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
16-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
17-Oct-20,0,0,0,0,3,3,1,0.2,0.15,0.1,100,100,120
18-Oct-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
19-Oct-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
20-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
21-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
22-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
23-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
24-Oct-20,0,0,0,0,3,3,1,0.2,0.15,0.1,100,100,120
25-Oct-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
26-Oct-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
27-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
28-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
29-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
30-Oct-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
31-Oct-20,0,0,0,0,3,3,1,0.2,0.15,0.1,100,100,120
1-Nov-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
2-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
3-Nov-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
4-Nov-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
5-Nov-20,0,0,0,0,5,3,1,0.2,0.15,0.1,100,100,120
6-Nov-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
7-Nov-20,0,0,0,0,3,3,1,0.2,0.15,0.1,100,100,120
8-Nov-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
9-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
10-Nov-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
11-Nov-20,0,0,0,0,6,3,1,0.2,0.15,0.1,100,100,120
12-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
13-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
14-Nov-20,0,0,0,0,4,3,1,0.2,0.15,0.1,100,100,120
15-Nov-20,0,0,0,0,1,3,1,0.2,0.15,0.1,100,100,120
16-Nov-20,0,0,0,0,8,3,1,0.2,0.15,0.1,100,100,120
17-Nov-20,0,0,0,0,7,3,1,0.2,0.15,0.1,100,100,120
